listing_id,title,price,location,state,beds,baths,size_sqft,property_type,url,scraped_at
115113858,[RARE UNIT] Skyridge Apartment for Sales Tanjong Tokong Gurney,360000,N/A,N/A,N/A,N/A,750,N/A,https://www.mudah.my/ad/115113858.htm,2026-06-27 07:47:51
114323732,FOR SALE: Fully-Furnished Dual-Key Condo at Utropolis Batu Kawan,463000,N/A,N/A,N/A,N/A,726,N/A,https://www.mudah.my/ad/114323732.htm,2026-06-27 07:47:51
115113526,vacant land except old palm trees,10,N/A,N/A,N/A,N/A,3,N/A,https://www.mudah.my/ad/115113526.htm,2026-06-27 07:47:56
114329178,"2.5 Storey, Cangkat Sungai Ara 2, Desa Ara",850000,N/A,N/A,N/A,N/A,1281,N/A,https://www.mudah.my/ad/114329178.htm,2026-06-27 07:47:56
115111469,Flat Taman Tun Sardon,200000,N/A,N/A,N/A,N/A,600,N/A,https://www.mudah.my/ad/115111469.htm,2026-06-27 07:47:56
115110716,"The Address Condominium, Bukit Jambul For Sale",950000,N/A,N/A,N/A,N/A,1679,N/A,https://www.mudah.my/ad/115110716.htm,2026-06-27 07:47:56
115110673,FOR SALE Miami Green Penthouse Duplex,888000,N/A,N/A,N/A,N/A,2465,N/A,https://www.mudah.my/ad/115110673.htm,2026-06-27 07:47:56
115109911,Sale! Kejora Flat 646sf Teluk Kumbar Bayan Lepas Airport No Agent Fee,185000,N/A,N/A,N/A,N/A,646,N/A,https://www.mudah.my/ad/115109911.htm,2026-06-27 07:47:56
115109327,Taman seri damai flat,198000,N/A,N/A,N/A,N/A,680,N/A,https://www.mudah.my/ad/115109327.htm,2026-06-27 07:47:56
115109167,Jade view apartment for sale,310000,N/A,N/A,N/A,N/A,700,N/A,https://www.mudah.my/ad/115109167.htm,2026-06-27 07:47:56
115075940,shoplot simpang Ampat bandar tasek mutiara ,830000,N/A,N/A,N/A,N/A,1320,N/A,https://www.mudah.my/ad/115075940.htm,2026-06-27 07:47:56
115072805,Bertam Eco Residence,890000,N/A,N/A,N/A,N/A,4616,N/A,https://www.mudah.my/ad/115072805.htm,2026-06-27 07:47:56
114784897,apartment for sale,550000,N/A,N/A,N/A,N/A,1183,N/A,https://www.mudah.my/ad/114784897.htm,2026-06-27 07:47:56
114286981,Ideal Renovated Gated Double Storey in Simpang Ampat(Near C-Mart),560000,N/A,N/A,N/A,N/A,1450,N/A,https://www.mudah.my/ad/114286981.htm,2026-06-27 07:47:56
115075449,(OWNER)Taman Tambun Indah- Double-Storey Bungalow ,1420000,N/A,N/A,N/A,N/A,7200,N/A,https://www.mudah.my/ad/115075449.htm,2026-06-27 07:47:56
115072026,PRIME LOCATION!  Near Future LRT & Town Center by Direct Owner,380000,N/A,N/A,N/A,N/A,900,N/A,https://www.mudah.my/ad/115072026.htm,2026-06-27 07:47:56
115069344,"Below Market Value!!! |Double Storey Terrace @ Mekarsari, Bertam",558000,N/A,N/A,N/A,N/A,1582,N/A,https://www.mudah.my/ad/115069344.htm,2026-06-27 07:47:56
114681644,Moonlight Bay Condovilla,1580000,N/A,N/A,N/A,N/A,2100,N/A,https://www.mudah.my/ad/114681644.htm,2026-06-27 07:47:56
115072231,Lot Banglo 1st Grade - Geran Individu,215000,N/A,N/A,N/A,N/A,3078,N/A,https://www.mudah.my/ad/115072231.htm,2026-06-27 07:47:56
115071639,Krystal villa Condo Bayan Baru Queenbay Q2 Mall,380000,N/A,N/A,N/A,N/A,850,N/A,https://www.mudah.my/ad/115071639.htm,2026-06-27 07:47:56
115074066,Pangsapuri merbau indah,180000,N/A,N/A,N/A,N/A,660,N/A,https://www.mudah.my/ad/115074066.htm,2026-06-27 07:47:56
114296799,Freehold with direct seaview,450000,N/A,N/A,N/A,N/A,1010,N/A,https://www.mudah.my/ad/114296799.htm,2026-06-27 07:47:56
115073094,Condo 3 Bedroom and 2 Toilet,390000,N/A,N/A,N/A,N/A,1140,N/A,https://www.mudah.my/ad/115073094.htm,2026-06-27 07:47:56
115071473,Higher than in front of Apartment ,515000,N/A,N/A,N/A,N/A,936,N/A,https://www.mudah.my/ad/115071473.htm,2026-06-27 07:47:56
115069359,Lebuh Pantai for sales,2000000,N/A,N/A,N/A,N/A,2000,N/A,https://www.mudah.my/ad/115069359.htm,2026-06-27 07:47:56
115071556,Tanah Lot Untuk Dijual ( Direct Owner ),48000,N/A,N/A,N/A,N/A,0.07,N/A,https://www.mudah.my/ad/115071556.htm,2026-06-27 07:47:56
114658388,"Sell with tenant, Good for investment",360000,N/A,N/A,N/A,N/A,700,N/A,https://www.mudah.my/ad/114658388.htm,2026-06-27 07:47:56
115072088,Glisten Hill,550000,N/A,N/A,N/A,N/A,1305,N/A,https://www.mudah.my/ad/115072088.htm,2026-06-27 07:47:56
114653413,"Semi-D Bukit Mertajam, Bukit Minyak Hotspot Icon City & Aeon Big",840000,N/A,N/A,N/A,N/A,2868,N/A,https://www.mudah.my/ad/114653413.htm,2026-06-27 07:47:56
115069943,The Rise Collection 2 Sale (Good Unit Number),370000,N/A,N/A,N/A,N/A,800,N/A,https://www.mudah.my/ad/115069943.htm,2026-06-27 07:47:56
114657942,Renovated Office Space,860000,N/A,N/A,N/A,N/A,1457,N/A,https://www.mudah.my/ad/114657942.htm,2026-06-27 07:47:56
114982839,Renovated 2.5 Storey Terrace House Freehold Seberang Jaya,870000,N/A,N/A,N/A,N/A,2340,N/A,https://www.mudah.my/ad/114982839.htm,2026-06-27 07:47:56
115074494,Tampin Court,450000,N/A,N/A,N/A,N/A,700,N/A,https://www.mudah.my/ad/115074494.htm,2026-06-27 07:47:56
115072274,Solaria Residence,780000,N/A,N/A,N/A,N/A,1115,N/A,https://www.mudah.my/ad/115072274.htm,2026-06-27 07:47:56
115071983,Woodsbury suite|🔥 Existing Tenant | Fully Furnished,460000,N/A,N/A,N/A,N/A,918,N/A,https://www.mudah.my/ad/115071983.htm,2026-06-27 07:47:56
114291742,Shineville Park Condo 1650 sqft | 4 Rooms 2 Baths | 2 Parking | Town V,579000,N/A,N/A,N/A,N/A,1650,N/A,https://www.mudah.my/ad/114291742.htm,2026-06-27 07:47:56
115069488,Seri Semarak ,170000,N/A,N/A,N/A,N/A,550,N/A,https://www.mudah.my/ad/115069488.htm,2026-06-27 07:47:56
