listing_id,title,price,location,state,beds,baths,size_sqft,property_type,title_type,url,scraped_at
115118028,bungalow house for sale,"RM 1,890,000","Gelugor, Penang",Penang,3,3,4300,Bungalow House,Leasehold,https://www.mudah.my/bungalow-house-for-sale-115118028.htm,2026-06-27 11:43:06
115117774,Townhouse (Upper Unit) for Sale,"RM 420,000","Villa Raintree, Simpang Ampat",Penang,3,4,1800,Townhouse Condo,Freehold,https://www.mudah.my/townhouse-upper-unit-for-sale-115117774.htm,2026-06-27 11:43:06
115117669,Taman Guar Perahu for Sell,"RM 240,000","Kubang Semang, Penang",Penang,3,2,1097,1-storey Terraced House,Freehold,https://www.mudah.my/taman-guar-perahu-for-sell-115117669.htm,2026-06-27 11:43:06
115117504,Sale From Direct Owner,"RM 480,000","Mahsuri Square, Bayan Baru",Penang,3,3,1129,Condominium,Leasehold,https://www.mudah.my/sale-from-direct-owner-115117504.htm,2026-06-27 11:43:06
115117108,Meritus Residensi Seberang Perai,"RM 410,000","Meritus Residensi, Perai",Penang,3,2,900,Service Residence,Freehold,https://www.mudah.my/meritus-residensi-seberang-perai-115117108.htm,2026-06-27 11:43:06
